No.,회계년도,소관명,회계명,계정명,분야명,부문명,프로그램명,단위사업명,세부사업명,경비구분,지출구분,목명,세목명,정부안금액(달러),국회확정금액(달러)
"1","2022","5·18민주화운동 진상규명조사위원회","일반회계","","일반·지방행정","일반행정","518 진상규명조사위원회 운영","518 진상규명 지원","518 진상규명지원","주요사업비(기금사업비)","일반지출","여비","국외업무여비","9,388","9,388"
"2","2022","가습기살균제사건과 4·16세월호참사 특별조사위원회","일반회계","","일반·지방행정","일반행정","기관운영","기본경비","기관운영 기본경비(비총액)","기본경비(경상운영비)","일반지출","여비","국외업무여비","8,220","8,220"
"3","2022","가습기살균제사건과 4·16세월호참사 특별조사위원회","일반회계","","일반·지방행정","일반행정","사회적참사 조사","세월호참사 진상규명","세월호참사 진상규명 조사","주요사업비(기금사업비)","일반지출","여비","국외업무여비","24,056","24,056"
"4","2022","감사원","일반회계","","일반·지방행정","일반행정","감사활동 및 행정지원","감사연구활동경비","감사연구활동경비","주요사업비(기금사업비)","일반지출","여비","국외업무여비","20,550","20,550"
"5","2022","감사원","일반회계","","일반·지방행정","일반행정","감사활동 및 행정지원","감사연구활동경비","감사연구활동경비","주요사업비(기금사업비)","일반지출","운영비","일반수용비","4,496","4,496"
"6","2022","감사원","일반회계","","일반·지방행정","일반행정","감사활동 및 행정지원","감사활동경비","감사활동경비","주요사업비(기금사업비)","일반지출","여비","국외교육여비","32,000","32,000"
"7","2022","감사원","일반회계","","일반·지방행정","일반행정","감사활동 및 행정지원","감사활동경비","감사활동경비","주요사업비(기금사업비)","일반지출","여비","국외업무여비","201,517","201,517"
"8","2022","감사원","일반회계","","일반·지방행정","일반행정","감사활동 및 행정지원","감사활동경비","적극행정 지원","주요사업비(기금사업비)","일반지출","여비","국외업무여비","38,254","38,254"
"9","2022","감사원","일반회계","","일반·지방행정","일반행정","감사활동 및 행정지원","국제교류협력강화","국제교류협력강화","주요사업비(기금사업비)","일반지출","업무추진비","관서업무추진비","34,200","34,200"
"10","2022","감사원","일반회계","","일반·지방행정","일반행정","감사활동 및 행정지원","국제교류협력강화","국제교류협력강화","주요사업비(기금사업비)","일반지출","여비","국외업무여비","179,622","173,691"
"11","2022","감사원","일반회계","","일반·지방행정","일반행정","감사활동 및 행정지원","국제교류협력강화","국제교류협력강화","주요사업비(기금사업비)","일반지출","운영비","공공요금및제세","2,258","2,258"
"12","2022","감사원","일반회계","","일반·지방행정","일반행정","감사활동 및 행정지원","국제교류협력강화","국제교류협력강화","주요사업비(기금사업비)","일반지출","운영비","시설장비유지비","2,419","2,419"
"13","2022","감사원","일반회계","","일반·지방행정","일반행정","감사활동 및 행정지원","국제교류협력강화","국제교류협력강화","주요사업비(기금사업비)","일반지출","운영비","임차료","41,274","41,274"
"14","2022","감사원","일반회계","","일반·지방행정","일반행정","감사활동 및 행정지원","국제교류협력강화","국제교류협력강화","주요사업비(기금사업비)","일반지출","해외이전","국제부담금","33,000","33,000"
"15","2022","감사원","일반회계","","일반·지방행정","일반행정","감사활동 및 행정지원","기본경비","기본경비","기본경비(경상운영비)","일반지출","여비","국외교육여비","12,602","12,602"
"16","2022","감사원","일반회계","","일반·지방행정","일반행정","감사활동 및 행정지원","인건비","인건비","인건비(기금인건비)","일반지출","인건비","보수","73,795","73,795"
"17","2022","경찰청","일반회계","","공공질서및안전","경찰","경찰행정지원","본부기본경비","경무인사기획관기본경비","기본경비(경상운영비)","일반지출","여비","국외업무여비","16,641","16,641"
"18","2022","경찰청","일반회계","","공공질서및안전","경찰","경찰행정지원","본부기본경비","과학수사관리관기본경비","기본경비(경상운영비)","일반지출","여비","국외업무여비","2,251","2,251"
"19","2022","경찰청","일반회계","","공공질서및안전","경찰","경찰행정지원","본부기본경비","대변인기본경비","기본경비(경상운영비)","일반지출","여비","국외업무여비","2,511","2,511"
"20","2022","경찰청","일반회계","","공공질서및안전","경찰","경찰행정지원","본부기본경비","전북청기본경비","기본경비(경상운영비)","일반지출","여비","국외업무여비",390,390
"21","2022","경찰청","일반회계","","공공질서및안전","경찰","경찰행정지원","본부기본경비","정보화장비정책관기본경비","기본경비(경상운영비)","일반지출","여비","국외업무여비","4,581","4,581"
"22","2022","경찰청","일반회계","","공공질서및안전","경찰","경찰행정지원","본부인건비","경찰청인건비","인건비(기금인건비)","일반지출","인건비","보수","855,445","855,445"
"23","2022","경찰청","일반회계","","공공질서및안전","경찰","경찰행정지원","소속기관기본경비","경찰대학기본경비","기본경비(경상운영비)","일반지출","여비","국외업무여비","14,876","14,876"
"24","2022","경찰청","일반회계","","공공질서및안전","경찰","경찰행정지원","소속기관기본경비","경찰인재개발원기본경비","기본경비(경상운영비)","일반지출","여비","국외업무여비",905,905
"25","2022","경찰청","일반회계","","공공질서및안전","경찰","경찰행정지원","소속기관기본경비","중앙학교기본경비","기본경비(경상운영비)","일반지출","여비","국외업무여비","2,355","2,355"
"26","2022","경찰청","일반회계","","공공질서및안전","경찰","경찰행정지원","소속기관인건비","중앙학교인건비","인건비(기금인건비)","일반지출","인건비","보수","27,720","27,720"
"27","2022","경찰청","일반회계","","공공질서및안전","경찰","경찰행정지원","치안행정업무지원","기획정보활동","주요사업비(기금사업비)","일반지출","특수활동비","특수활동비","12,384","12,384"
"28","2022","경찰청","일반회계","","공공질서및안전","경찰","교통안전·소통확보","교통사고예방","교통안전활동","주요사업비(기금사업비)","일반지출","여비","국외업무여비","70,238","70,238"
"29","2022","경찰청","일반회계","","공공질서및안전","경찰","국가안보확보","국제교류협력활동","해외치안협력강화","주요사업비(기금사업비)","일반지출","여비","국외업무여비","181,560","181,560"
"30","2022","경찰청","일반회계","","공공질서및안전","경찰","국가안보확보","국제교류협력활동","해외치안협력강화","주요사업비(기금사업비)","일반지출","운영비","공공요금및제세","5,600","5,600"
"31","2022","경찰청","일반회계","","공공질서및안전","경찰","국가안보확보","국제교류협력활동","해외치안협력강화","주요사업비(기금사업비)","일반지출","운영비","일반수용비","17,300","17,300"
"32","2022","경찰청","일반회계","","공공질서및안전","경찰","국가안보확보","국제교류협력활동","해외치안협력강화","주요사업비(기금사업비)","일반지출","운영비","임차료","535,458","535,458"
