No.,회계년도,소관명,회계명,계정명,분야명,부문명,프로그램명,단위사업명,세부사업명,경비구분,지출구분,정부안금액(달러),국회확정금액(달러)
"1","2022","5·18민주화운동 진상규명조사위원회","일반회계","","일반·지방행정","일반행정","518 진상규명조사위원회 운영","518 진상규명 지원","518 진상규명지원","주요사업비(기금사업비)","일반지출","9,388","9,388"
"2","2022","가습기살균제사건과 4·16세월호참사 특별조사위원회","일반회계","","일반·지방행정","일반행정","기관운영","기본경비","기관운영 기본경비(비총액)","기본경비(경상운영비)","일반지출","8,220","8,220"
"3","2022","가습기살균제사건과 4·16세월호참사 특별조사위원회","일반회계","","일반·지방행정","일반행정","사회적참사 조사","세월호참사 진상규명","세월호참사 진상규명 조사","주요사업비(기금사업비)","일반지출","24,056","24,056"
"4","2022","감사원","일반회계","","일반·지방행정","일반행정","감사활동 및 행정지원","감사연구활동경비","감사연구활동경비","주요사업비(기금사업비)","일반지출","25,046","25,046"
"5","2022","감사원","일반회계","","일반·지방행정","일반행정","감사활동 및 행정지원","감사활동경비","감사활동경비","주요사업비(기금사업비)","일반지출","233,517","233,517"
"6","2022","감사원","일반회계","","일반·지방행정","일반행정","감사활동 및 행정지원","감사활동경비","적극행정 지원","주요사업비(기금사업비)","일반지출","38,254","38,254"
"7","2022","감사원","일반회계","","일반·지방행정","일반행정","감사활동 및 행정지원","국제교류협력강화","국제교류협력강화","주요사업비(기금사업비)","일반지출","292,773","286,842"
"8","2022","감사원","일반회계","","일반·지방행정","일반행정","감사활동 및 행정지원","기본경비","기본경비","기본경비(경상운영비)","일반지출","12,602","12,602"
"9","2022","감사원","일반회계","","일반·지방행정","일반행정","감사활동 및 행정지원","인건비","인건비","인건비(기금인건비)","일반지출","73,795","73,795"
"10","2022","경찰청","일반회계","","공공질서및안전","경찰","경찰행정지원","본부기본경비","경무인사기획관기본경비","기본경비(경상운영비)","일반지출","16,641","16,641"
"11","2022","경찰청","일반회계","","공공질서및안전","경찰","경찰행정지원","본부기본경비","과학수사관리관기본경비","기본경비(경상운영비)","일반지출","2,251","2,251"
"12","2022","경찰청","일반회계","","공공질서및안전","경찰","경찰행정지원","본부기본경비","대변인기본경비","기본경비(경상운영비)","일반지출","2,511","2,511"
"13","2022","경찰청","일반회계","","공공질서및안전","경찰","경찰행정지원","본부기본경비","전북청기본경비","기본경비(경상운영비)","일반지출",390,390
"14","2022","경찰청","일반회계","","공공질서및안전","경찰","경찰행정지원","본부기본경비","정보화장비정책관기본경비","기본경비(경상운영비)","일반지출","4,581","4,581"
"15","2022","경찰청","일반회계","","공공질서및안전","경찰","경찰행정지원","본부인건비","경찰청인건비","인건비(기금인건비)","일반지출","855,445","855,445"
"16","2022","경찰청","일반회계","","공공질서및안전","경찰","경찰행정지원","소속기관기본경비","경찰대학기본경비","기본경비(경상운영비)","일반지출","14,876","14,876"
"17","2022","경찰청","일반회계","","공공질서및안전","경찰","경찰행정지원","소속기관기본경비","경찰인재개발원기본경비","기본경비(경상운영비)","일반지출",905,905
"18","2022","경찰청","일반회계","","공공질서및안전","경찰","경찰행정지원","소속기관기본경비","중앙학교기본경비","기본경비(경상운영비)","일반지출","2,355","2,355"
"19","2022","경찰청","일반회계","","공공질서및안전","경찰","경찰행정지원","소속기관인건비","중앙학교인건비","인건비(기금인건비)","일반지출","27,720","27,720"
"20","2022","경찰청","일반회계","","공공질서및안전","경찰","경찰행정지원","치안행정업무지원","기획정보활동","주요사업비(기금사업비)","일반지출","12,384","12,384"
"21","2022","경찰청","일반회계","","공공질서및안전","경찰","교통안전·소통확보","교통사고예방","교통안전활동","주요사업비(기금사업비)","일반지출","70,238","70,238"
"22","2022","경찰청","일반회계","","공공질서및안전","경찰","국가안보확보","국제교류협력활동","해외치안협력강화","주요사업비(기금사업비)","일반지출","739,918","739,918"
"23","2022","경찰청","일반회계","","공공질서및안전","경찰","국가안보확보","대테러상황관리","대테러상황관리","주요사업비(기금사업비)","일반지출","43,320","43,320"
"24","2022","경찰청","일반회계","","공공질서및안전","경찰","범죄수사활동","수사지원 및 수사역량강화","과학수사역량강화","주요사업비(기금사업비)","일반지출","8,340","8,340"
"25","2022","경찰청","일반회계","","공공질서및안전","경찰","범죄수사활동","수사지원 및 수사역량강화","사이버수사역량강화","주요사업비(기금사업비)","일반지출","235,000","235,000"
"26","2022","경찰청","일반회계","","공공질서및안전","경찰","범죄수사활동","수사지원 및 수사역량강화","수사지원","주요사업비(기금사업비)","일반지출","85,500","85,500"
"27","2022","경찰청","일반회계","","공공질서및안전","경찰","범죄수사활동","수사지원 및 수사역량강화","안보수사역량강화","주요사업비(기금사업비)","일반지출","20,631","20,631"
"28","2022","경찰청","일반회계","","공공질서및안전","경찰","범죄예방및사회적약자보호","범죄예방및대응역량강화","범죄예방및생활질서유지","주요사업비(기금사업비)","일반지출","4,100","4,100"
"29","2022","경찰청","일반회계","","공공질서및안전","경찰","전문경찰양성","경찰대학운영","경찰대학운영","주요사업비(기금사업비)","일반지출","98,089","98,089"
"30","2022","경찰청","일반회계","","공공질서및안전","경찰","전문경찰양성","경찰인재개발","경찰인재개발","주요사업비(기금사업비)","일반지출","9,748","9,748"
"31","2022","경찰청","일반회계","","공공질서및안전","경찰","치안상황대응강화","치안상황관리","범죄대응및재난안전관리","주요사업비(기금사업비)","일반지출","104,506","104,506"
"32","2022","경찰청","일반회계","","공공질서및안전","경찰","치안인프라구축","경찰장비현대화","장비관리유지","주요사업비(기금사업비)","일반지출","1,700","1,700"
"33","2022","경찰청","일반회계","","공공질서및안전","경찰","치안인프라구축","헬기운용 및 현대화","헬기운용 및 현대화","주요사업비(기금사업비)","일반지출","1,814,479","1,814,479"
"34","2022","고용노동부","고용보험기금","","사회복지","고용","고용노동행정지원","기금운영비","고용보험운영 기타경비","기본경비(경상운영비)","일반지출","65,186","65,186"
"35","2022","고용노동부","고용보험기금","","사회복지","고용","고용노동행정지원","기금운영비","직업능력개발사업운영","기본경비(경상운영비)","일반지출","8,174","8,174"
"36","2022","고용노동부","국가균형발전특별회계","지역지원계정","사회복지","고용","고용창출","지역고용촉진지원","지역산업맞춤형일자리창출지원","주요사업비(기금사업비)","일반지출","15,834","15,834"
"37","2022","고용노동부","근로복지진흥기금","중소복지계정","사회복지","노동","고용노동행정지원","근로복지기금운영비","기금관리비(기타경비)","기본경비(경상운영비)","일반지출","3,628","3,628"
"38","2022","고용노동부","산업재해보상보험및예방기금","","사회복지","노동","고용노동행정지원","산재보험및예방기금운영비","산재보험운영 기타경비","기본경비(경상운영비)","일반지출","7,776","7,776"
"39","2022","고용노동부","산업재해보상보험및예방기금","","사회복지","노동","고용노동행정지원","산재보험및예방기금운영비","산재예방운영 기타경비","기본경비(경상운영비)","일반지출","23,373","23,373"
"40","2022","고용노동부","일반회계","","사회복지","고용","고용창출","사회적기업육성","사회적기업 육성","주요사업비(기금사업비)","일반지출","14,626","14,626"
"41","2022","고용노동부","일반회계","","사회복지","고용노동일반","고용노동행정지원","경제사회노동위원회운영","경제사회노동위원회운영","주요사업비(기금사업비)","일반지출","9,136","9,136"
"42","2022","고용노동부","일반회계","","사회복지","고용노동일반","고용노동행정지원","고용노동행정정보화","고용노동행정(정보화)","주요사업비(기금사업비)","일반지출","3,528","3,528"
"43","2022","고용노동부","일반회계","","사회복지","고용노동일반","고용노동행정지원","본부기본경비","기본경비(고용정책실,비총액)","기본경비(경상운영비)","일반지출","5,124","5,124"
