No.,회계연도,추경차수,소관명,회계명,계정명,분야명,부문명,프로그램명,단위사업명,세부사업명,경비구분,지출구분,본예산금액(천원),본예산외화금액(달러),추경정부안금액(천원),추경정부안외화금액(달러),추경국회확정금액(천원),추경국회확정외화금액(달러)
"1","2022","0","5·18민주화운동 진상규명조사위원회","일반회계","","일반·지방행정","일반행정","518 진상규명조사위원회 운영","518 진상규명 지원","518 진상규명지원","주요사업비(기금사업비)","일반지출","5,452,000","9,388",0,0,0,0
"2","2022","0","5·18민주화운동 진상규명조사위원회","일반회계","","일반·지방행정","일반행정","518 진상규명조사위원회 운영","기본경비","위원회 기본경비","기본경비(경상운영비)","일반지출","4,421,000",0,0,0,0,0
"3","2022","0","5·18민주화운동 진상규명조사위원회","일반회계","","일반·지방행정","일반행정","518 진상규명조사위원회 운영","인건비","공무원 인건비","인건비(기금인건비)","일반지출","3,866,000",0,0,0,0,0
"4","2022","0","가습기살균제사건과 4·16세월호참사 특별조사위원회","일반회계","","일반·지방행정","일반행정","기관운영","기본경비","기관운영 기본경비(비총액)","기본경비(경상운영비)","일반지출","3,094,000","8,220",0,0,0,0
"5","2022","0","가습기살균제사건과 4·16세월호참사 특별조사위원회","일반회계","","일반·지방행정","일반행정","기관운영","기본경비","기관운영 기본경비(총액)","기본경비(경상운영비)","일반지출","1,690,000",0,0,0,0,0
"6","2022","0","가습기살균제사건과 4·16세월호참사 특별조사위원회","일반회계","","일반·지방행정","일반행정","기관운영","인건비","인건비(총액)","인건비(기금인건비)","일반지출","5,086,000",0,0,0,0,0
"7","2022","0","가습기살균제사건과 4·16세월호참사 특별조사위원회","일반회계","","일반·지방행정","일반행정","사회적참사 조사","대외 소통","대국민 소통 강화","주요사업비(기금사업비)","일반지출","79,000",0,0,0,0,0
"8","2022","0","가습기살균제사건과 4·16세월호참사 특별조사위원회","일반회계","","일반·지방행정","일반행정","사회적참사 조사","세월호참사 진상규명","세월호참사 진상규명 조사","주요사업비(기금사업비)","일반지출","1,856,000","24,056",0,0,0,0
"9","2022","0","가습기살균제사건과 4·16세월호참사 특별조사위원회","일반회계","","일반·지방행정","일반행정","사회적참사 조사","안전사회 건설","안전사회 건설","주요사업비(기금사업비)","일반지출","48,000",0,0,0,0,0
"10","2022","0","가습기살균제사건과 4·16세월호참사 특별조사위원회","일반회계","","일반·지방행정","일반행정","사회적참사 조사","자료 수집 보존","종합보고서·백서 발간 및 기록물 이관·보존","주요사업비(기금사업비)","일반지출","549,000",0,0,0,0,0
"11","2022","0","가습기살균제사건과 4·16세월호참사 특별조사위원회","일반회계","","일반·지방행정","일반행정","사회적참사 조사","청문회 지원","청문회 개최 지원 및 자료 검증","주요사업비(기금사업비)","일반지출","113,000",0,0,0,0,0
"12","2022","0","가습기살균제사건과 4·16세월호참사 특별조사위원회","일반회계","","일반·지방행정","일반행정","사회적참사 조사","피해 지원","피해자 지원 대책 수립","주요사업비(기금사업비)","일반지출","14,000",0,0,0,0,0
