No.,회계연도,소관명,회계명,계정명,수입관명,수입항명,수입목명,수입구분명,정부안금액(천원),국회확정금액(천원)
"1","2022","감사원","일반회계","","경상이전수입","기타경상이전수입","기타경상이전수입","일반수입","73,000","73,000"
"2","2022","감사원","일반회계","","수입대체경비수입","잡수입","기타잡수입","일반수입","520,000","520,000"
"3","2022","감사원","일반회계","","재산수입","관유물대여료","건물대여료","일반수입","19,000","19,000"
"4","2022","감사원","일반회계","","재산수입","관유물대여료","토지대여료","일반수입","7,000","7,000"
"5","2022","감사원","일반회계","","재화및용역판매수입","잡수입","기타잡수입","일반수입","97,000","97,000"
"6","2022","개인정보보호위원회","일반회계","","경상이전수입","가산금","가산금","일반수입","4,000","4,000"
"7","2022","개인정보보호위원회","일반회계","","경상이전수입","기타경상이전수입","기타경상이전수입","일반수입","387,000","387,000"
"8","2022","개인정보보호위원회","일반회계","","경상이전수입","벌금,몰수금및과태료","과징금","일반수입","1,583,000","1,583,000"
"9","2022","개인정보보호위원회","일반회계","","경상이전수입","벌금,몰수금및과태료","과태료","일반수입","897,000","897,000"
"10","2022","개인정보보호위원회","일반회계","","경상이전수입","변상금및위약금","위약금","일반수입","1,000","1,000"
"11","2022","개인정보보호위원회","일반회계","","재산수입","기타이자수입및재산수입","기타재산이자수입","일반수입","33,000","33,000"
"12","2022","개인정보보호위원회","일반회계","","재화및용역판매수입","면허료및수수료","면허료및수수료","일반수입","1,000","1,000"
"13","2022","경찰청","경찰병원","손익계정","경상이전수입","기타경상이전수입","기타경상이전수입","일반수입","40,000","40,000"
"14","2022","경찰청","경찰병원","손익계정","경상이전수입","변상금및위약금","위약금","일반수입","6,000","6,000"
"15","2022","경찰청","경찰병원","손익계정","관유물매각대","고정자산매각대","기타고정자산매각대","일반수입","2,000","2,000"
"16","2022","경찰청","경찰병원","손익계정","기업특별회계영업수입","책임운영기관사업수입","책임운영기관사업수입","일반수입","30,746,000","30,746,000"
"17","2022","경찰청","경찰병원","손익계정","세계잉여금","세계잉여금이입액","전년도세계잉여금","보전수입","9,446,000","9,446,000"
"18","2022","경찰청","경찰병원","손익계정","재산수입","관유물대여료","건물대여료","일반수입","48,000","48,000"
"19","2022","경찰청","경찰병원","손익계정","재산수입","기타이자수입및재산수입","기타재산이자수입","일반수입","1,000","1,000"
