No.,회계년도,회계월,소관,소관명,회계,회계명,수입관,수입관명,수입항,수입항명,예산액(원),예산현액(원),당월수납금액(원),누계수납금액(원)
"1","2023","03","005","감사원","110","일반회계","12","경상이전수입","59","기타경상이전수입","30,000,000","30,000,000","276,380","107,251,410"
"2","2023","03","005","감사원","110","일반회계","14","수입대체경비수입","69","잡수입","489,000,000","489,000,000","66,760,000","66,760,000"
"3","2023","03","005","감사원","110","일반회계","11","재산수입","51","관유물대여료","16,000,000","16,000,000",0,0
"4","2023","03","005","감사원","110","일반회계","13","재화및용역판매수입","69","잡수입","104,000,000","104,000,000",0,0
"5","2023","03","117","개인정보보호위원회","110","일반회계","12","경상이전수입","58","가산금","3,000,000","3,000,000",0,"54,231,120"
"6","2023","03","117","개인정보보호위원회","110","일반회계","12","경상이전수입","59","기타경상이전수입","1,265,000,000","1,265,000,000","11,191,140","12,091,140"
"7","2023","03","117","개인정보보호위원회","110","일반회계","12","경상이전수입","56","벌금,몰수금및과태료","2,958,000,000","2,958,000,000","30,822,220","101,094,675,440"
"8","2023","03","117","개인정보보호위원회","110","일반회계","12","경상이전수입","57","변상금및위약금","1,000,000","1,000,000",0,0
"9","2023","03","117","개인정보보호위원회","110","일반회계","11","재산수입","54","기타이자수입및재산수입","15,000,000","15,000,000","761,520","761,520"
"10","2023","03","117","개인정보보호위원회","110","일반회계","13","재화및용역판매수입","65","면허료및수수료","1,000,000","1,000,000",630,"3,380"
"11","2023","03","117","개인정보보호위원회","110","일반회계","13","재화및용역판매수입","69","잡수입","1,000,000","1,000,000",0,0
"12","2023","03","037","경찰청","439","경찰병원","12","경상이전수입","59","기타경상이전수입","40,000,000","40,000,000","1,560,940","4,527,430"
"13","2023","03","037","경찰청","439","경찰병원","12","경상이전수입","56","벌금,몰수금및과태료",0,0,0,0
"14","2023","03","037","경찰청","439","경찰병원","12","경상이전수입","57","변상금및위약금","6,000,000","6,000,000","96,910","98,010"
"15","2023","03","037","경찰청","439","경찰병원","15","관유물매각대","71","고정자산매각대","25,000,000","25,000,000",0,0
"16","2023","03","037","경찰청","439","경찰병원","10","기업특별회계영업수입","49","책임운영기관사업수입","32,799,000,000","32,799,000,000","2,645,388,790","7,090,760,600"
"17","2023","03","037","경찰청","439","경찰병원","34","세계잉여금","89","세계잉여금이입액","14,034,000,000","14,034,000,000",0,0
"18","2023","03","037","경찰청","439","경찰병원","11","재산수입","51","관유물대여료","48,000,000","48,000,000",0,"-13,574,980"
"19","2023","03","037","경찰청","439","경찰병원","11","재산수입","54","기타이자수입및재산수입","1,000,000","1,000,000",0,0
"20","2023","03","037","경찰청","439","경찰병원","13","재화및용역판매수입","62","병원수입","6,300,000,000","6,300,000,000","606,700,140","1,596,554,300"
"21","2023","03","037","경찰청","439","경찰병원","13","재화및용역판매수입","69","잡수입","40,000,000","40,000,000","5,000,000","8,600,000"
"22","2023","03","037","경찰청","439","경찰병원","40","정부내부수입및기타","96","기타","2,000,000","2,000,000",0,0
"23","2023","03","037","경찰청","439","경찰병원","40","정부내부수입및기타","91","전입금","30,035,000,000","30,035,000,000","3,000,000,000","13,000,000,000"
"24","2023","03","037","경찰청","110","일반회계","12","경상이전수입","58","가산금","36,110,000,000","36,110,000,000","3,085,355,380","7,083,227,700"
"25","2023","03","037","경찰청","110","일반회계","12","경상이전수입","59","기타경상이전수입","10,966,000,000","10,966,000,000","1,356,215,330","6,606,094,220"
"26","2023","03","037","경찰청","110","일반회계","12","경상이전수입","56","벌금,몰수금및과태료","1,061,889,000,000","1,061,889,000,000","108,571,826,020","289,413,953,520"
"27","2023","03","037","경찰청","110","일반회계","12","경상이전수입","57","변상금및위약금","1,856,000,000","1,856,000,000","6,199,080","69,066,850"
"28","2023","03","037","경찰청","110","일반회계","15","관유물매각대","71","고정자산매각대","5,563,000,000","5,563,000,000","215,337,100","583,899,620"
"29","2023","03","037","경찰청","110","일반회계","15","관유물매각대","72","토지및무형자산매각대","627,000,000","627,000,000",0,0
"30","2023","03","037","경찰청","110","일반회계","11","재산수입","51","관유물대여료","3,138,000,000","3,138,000,000","557,430,020","698,372,420"
"31","2023","03","037","경찰청","110","일반회계","11","재산수입","54","기타이자수입및재산수입","716,000,000","716,000,000","41,816,840","192,948,430"
"32","2023","03","037","경찰청","110","일반회계","13","재화및용역판매수입","65","면허료및수수료","881,000,000","881,000,000","6,525,370","416,415,740"
"33","2023","03","037","경찰청","110","일반회계","13","재화및용역판매수입","66","입학금및수업료","430,000,000","430,000,000",0,0
"34","2023","03","037","경찰청","110","일반회계","13","재화및용역판매수입","69","잡수입","3,151,000,000","3,151,000,000","285,817,780","959,788,190"
"35","2023","03","019","고용노동부","541","고용보험기금","12","경상이전수입","58","가산금","3,268,000,000","3,268,000,000","163,440,030","377,720,260"
"36","2023","03","019","고용노동부","541","고용보험기금","12","경상이전수입","59","기타경상이전수입","221,184,000,000","221,184,000,000","10,627,779,054","34,960,914,352"
"37","2023","03","019","고용노동부","541","고용보험기금","12","경상이전수입","56","벌금,몰수금및과태료",0,0,0,0
"38","2023","03","019","고용노동부","541","고용보험기금","07","사회보장기여금","38","사회보장기여금","17,043,109,000,000","17,043,109,000,000","2,308,128,953,578","4,637,253,063,284"
"39","2023","03","019","고용노동부","541","고용보험기금","20","융자및전대차관원금회수","75","융자원금회수","104,294,000,000","104,294,000,000","9,160,173,240","20,563,098,170"
"40","2023","03","019","고용노동부","541","고용보험기금","11","재산수입","51","관유물대여료","147,000,000","147,000,000",0,"4,031,010"
"41","2023","03","019","고용노동부","541","고용보험기금","11","재산수입","54","기타이자수입및재산수입","311,103,000,000","311,103,000,000","17,820,670,310","30,639,065,900"
"42","2023","03","019","고용노동부","541","고용보험기금","13","재화및용역판매수입","69","잡수입","90,000,000","90,000,000","830,770","2,180,990"
"43","2023","03","019","고용노동부","541","고용보험기금","40","정부내부수입및기타","91","전입금","300,000,000,000","300,000,000,000",0,"300,000,000,000"
"44","2023","03","019","고용노동부","541","고용보험기금","31","차입금및여유자금회수","85","정부예금회수","3,696,796,000,000","3,696,796,000,000",0,0
"45","2023","03","019","고용노동부","558","근로복지진흥기금","12","경상이전수입","59","기타경상이전수입","9,620,000,000","9,620,000,000","689,039,081","2,074,260,363"
"46","2023","03","019","고용노동부","558","근로복지진흥기금","20","융자및전대차관원금회수","75","융자원금회수","154,618,000,000","154,618,000,000","10,772,151,910","30,928,169,190"
"47","2023","03","019","고용노동부","558","근로복지진흥기금","11","재산수입","54","기타이자수입및재산수입","5,981,000,000","5,981,000,000","371,225,855","1,632,499,778"
"48","2023","03","019","고용노동부","558","근로복지진흥기금","13","재화및용역판매수입","65","면허료및수수료","4,362,000,000","4,362,000,000","896,114,199","2,318,490,067"
"49","2023","03","019","고용노동부","558","근로복지진흥기금","13","재화및용역판매수입","69","잡수입","4,774,000,000","4,774,000,000","271,232,054","864,992,955"
"50","2023","03","019","고용노동부","558","근로복지진흥기금","40","정부내부수입및기타","92","예탁원금회수",0,0,0,0
"51","2023","03","019","고용노동부","558","근로복지진흥기금","40","정부내부수입및기타","95","예탁이자수입","1,000,000,000","1,000,000,000",0,0
"52","2023","03","019","고용노동부","558","근로복지진흥기금","40","정부내부수입및기타","91","전입금","88,116,000,000","88,116,000,000","15,000,000,000","33,000,000,000"
"53","2023","03","019","고용노동부","558","근로복지진흥기금","31","차입금및여유자금회수","85","정부예금회수","143,618,000,000","143,618,000,000","133,145,875,037","429,842,193,135"
"54","2023","03","019","고용노동부","523","산업재해보상보험및예방기금","12","경상이전수입","58","가산금","5,950,000,000","5,950,000,000","281,468,770","672,317,512"
"55","2023","03","019","고용노동부","523","산업재해보상보험및예방기금","12","경상이전수입","59","기타경상이전수입","107,210,000,000","107,210,000,000","11,038,465,123","29,431,378,567"
"56","2023","03","019","고용노동부","523","산업재해보상보험및예방기금","12","경상이전수입","56","벌금,몰수금및과태료","12,000,000","12,000,000",0,0
"57","2023","03","019","고용노동부","523","산업재해보상보험및예방기금","07","사회보장기여금","38","사회보장기여금","8,709,368,000,000","8,709,368,000,000","2,215,665,727,882","3,162,014,288,280"
"58","2023","03","019","고용노동부","523","산업재해보상보험및예방기금","20","융자및전대차관원금회수","75","융자원금회수","161,582,000,000","161,582,000,000","24,925,062,100","33,454,571,420"
"59","2023","03","019","고용노동부","523","산업재해보상보험및예방기금","11","재산수입","51","관유물대여료","749,000,000","749,000,000",0,0
"60","2023","03","019","고용노동부","523","산업재해보상보험및예방기금","11","재산수입","54","기타이자수입및재산수입","663,619,000,000","663,619,000,000","41,828,869,490","146,834,230,000"
"61","2023","03","019","고용노동부","523","산업재해보상보험및예방기금","13","재화및용역판매수입","69","잡수입","12,482,000,000","12,482,000,000","15,580","613,050"
"62","2023","03","019","고용노동부","523","산업재해보상보험및예방기금","40","정부내부수입및기타","92","예탁원금회수","2,030,000,000,000","2,030,000,000,000",0,0
"63","2023","03","019","고용노동부","523","산업재해보상보험및예방기금","40","정부내부수입및기타","95","예탁이자수입","114,638,000,000","114,638,000,000","23,143,112,320","23,143,112,320"
"64","2023","03","019","고용노동부","523","산업재해보상보험및예방기금","40","정부내부수입및기타","91","전입금","20,000,000,000","20,000,000,000",0,"20,000,000,000"
"65","2023","03","019","고용노동부","523","산업재해보상보험및예방기금","31","차입금및여유자금회수","85","정부예금회수","7,230,583,000,000","7,230,583,000,000",0,0
"66","2023","03","019","고용노동부","216","에너지및자원사업특별회계","12","경상이전수입","59","기타경상이전수입",0,0,"2,863,930","4,408,480"
"67","2023","03","019","고용노동부","110","일반회계","12","경상이전수입","58","가산금","264,000,000","264,000,000","17,015,550","60,855,820"
"68","2023","03","019","고용노동부","110","일반회계","12","경상이전수입","59","기타경상이전수입","187,640,000,000","187,640,000,000","6,305,233,020","47,472,920,210"
"69","2023","03","019","고용노동부","110","일반회계","12","경상이전수입","56","벌금,몰수금및과태료","44,666,000,000","44,666,000,000","4,115,472,690","12,267,586,310"
"70","2023","03","019","고용노동부","110","일반회계","12","경상이전수입","57","변상금및위약금","10,000,000","10,000,000",0,0
"71","2023","03","019","고용노동부","110","일반회계","11","재산수입","51","관유물대여료",0,0,0,0
"72","2023","03","019","고용노동부","110","일반회계","11","재산수입","54","기타이자수입및재산수입","1,217,000,000","1,217,000,000","433,701,220","652,613,640"
"73","2023","03","019","고용노동부","110","일반회계","13","재화및용역판매수입","65","면허료및수수료","10,000,000","10,000,000",0,"7,533,310"
"74","2023","03","019","고용노동부","110","일반회계","13","재화및용역판매수입","69","잡수입","139,000,000","139,000,000","225,000","2,098,810"
"75","2023","03","019","고용노동부","547","임금채권보장기금","12","경상이전수입","58","가산금","153,000,000","153,000,000","4,942,730","11,530,830"
"76","2023","03","019","고용노동부","547","임금채권보장기금","12","경상이전수입","59","기타경상이전수입","587,198,000,000","587,198,000,000","73,136,867,861","149,965,055,459"
"77","2023","03","019","고용노동부","547","임금채권보장기금","20","융자및전대차관원금회수","75","융자원금회수","15,902,000,000","15,902,000,000","2,861,561,270","4,849,389,300"
"78","2023","03","019","고용노동부","547","임금채권보장기금","11","재산수입","54","기타이자수입및재산수입","47,780,000,000","47,780,000,000","1,503,716,090","3,294,089,540"
"79","2023","03","019","고용노동부","547","임금채권보장기금","40","정부내부수입및기타","92","예탁원금회수","100,000,000,000","100,000,000,000","50,000,000,000","50,000,000,000"
"80","2023","03","019","고용노동부","547","임금채권보장기금","40","정부내부수입및기타","95","예탁이자수입","2,000,000,000","2,000,000,000","324,821,910","324,821,910"
"81","2023","03","019","고용노동부","547","임금채권보장기금","40","정부내부수입및기타","91","전입금","82,000,000","82,000,000",0,"82,000,000"
"82","2023","03","019","고용노동부","547","임금채권보장기금","31","차입금및여유자금회수","85","정부예금회수","163,812,000,000","163,812,000,000",0,0
"83","2023","03","019","고용노동부","535","장애인고용촉진및직업재활기금","12","경상이전수입","58","가산금","1,013,000,000","1,013,000,000","44,251,810","312,933,150"
"84","2023","03","019","고용노동부","535","장애인고용촉진및직업재활기금","12","경상이전수입","59","기타경상이전수입","757,890,000,000","757,890,000,000","-1,518,818,060","759,366,774,620"
"85","2023","03","019","고용노동부","535","장애인고용촉진및직업재활기금","20","융자및전대차관원금회수","75","융자원금회수","3,118,000,000","3,118,000,000","338,090,000","769,610,000"
"86","2023","03","019","고용노동부","535","장애인고용촉진및직업재활기금","11","재산수입","54","기타이자수입및재산수입","17,165,000,000","17,165,000,000","517,274,840","859,715,720"
"87","2023","03","019","고용노동부","535","장애인고용촉진및직업재활기금","40","정부내부수입및기타","92","예탁원금회수","600,000,000,000","600,000,000,000",0,"500,000,000,000"
"88","2023","03","019","고용노동부","535","장애인고용촉진및직업재활기금","40","정부내부수입및기타","95","예탁이자수입","12,000,000,000","12,000,000,000","1,588,150,680","3,812,808,210"
"89","2023","03","019","고용노동부","535","장애인고용촉진및직업재활기금","31","차입금및여유자금회수","85","정부예금회수","509,288,000,000","509,288,000,000",0,0
"90","2023","03","019","고용노동부","236","지역균형발전특별회계","12","경상이전수입","59","기타경상이전수입","15,921,000,000","15,921,000,000","23,904,080","35,948,730"
"91","2023","03","019","고용노동부","236","지역균형발전특별회계","12","경상이전수입","56","벌금,몰수금및과태료","2,000,000","2,000,000",0,"3,000,000"
"92","2023","03","019","고용노동부","236","지역균형발전특별회계","11","재산수입","54","기타이자수입및재산수입","578,000,000","578,000,000","97,000","456,490"
"93","2023","03","118","고위공직자범죄수사처","110","일반회계","12","경상이전수입","59","기타경상이전수입",0,0,0,"133,005,590"
"94","2023","03","040","공정거래위원회","110","일반회계","12","경상이전수입","58","가산금","415,000,000","415,000,000","64,610,670","134,099,620"
"95","2023","03","040","공정거래위원회","110","일반회계","12","경상이전수입","59","기타경상이전수입","1,543,000,000","1,543,000,000","54,540,900","287,440,550"
"96","2023","03","040","공정거래위원회","110","일반회계","12","경상이전수입","56","벌금,몰수금및과태료","419,732,000,000","419,732,000,000","-1,935,780,330","291,633,164,350"
"97","2023","03","040","공정거래위원회","110","일반회계","12","경상이전수입","57","변상금및위약금","1,000,000","1,000,000",0,0
"98","2023","03","040","공정거래위원회","110","일반회계","11","재산수입","54","기타이자수입및재산수입","5,000,000","5,000,000",0,0
"99","2023","03","040","공정거래위원회","110","일반회계","13","재화및용역판매수입","69","잡수입",0,0,"8,520","293,890"
"100","2023","03","162","과학기술정보통신부","538","과학기술진흥기금","12","경상이전수입","59","기타경상이전수입","8,029,000,000","8,029,000,000","293,477,380","387,842,730"
"101","2023","03","162","과학기술정보통신부","538","과학기술진흥기금","20","융자및전대차관원금회수","75","융자원금회수","400,000,000","400,000,000","100,000,000","100,000,000"
"102","2023","03","162","과학기술정보통신부","538","과학기술진흥기금","11","재산수입","54","기타이자수입및재산수입","744,000,000","744,000,000","152,022,920","163,690,860"
"103","2023","03","162","과학기술정보통신부","538","과학기술진흥기금","11","재산수입","52","정부출자수입","2,725,000,000","2,725,000,000",0,0
"104","2023","03","162","과학기술정보통신부","538","과학기술진흥기금","40","정부내부수입및기타","91","전입금","109,957,000,000","109,957,000,000","5,193,000,000","47,909,000,000"
"105","2023","03","162","과학기술정보통신부","538","과학기술진흥기금","31","차입금및여유자금회수","85","정부예금회수","48,306,000,000","48,306,000,000",0,0
