No.,회계년도,회계월,소관,소관명,회계,회계명,수입관코드,수입관명,수입항코드,수입항명,수입목코드,수입목명,예산(원),징수결정본월금액(원),징수결정누계금액(원),수납본월금액(원),수납누계금액(원),불납결손본월금액(원),불납결손누계금액(원),미수납누계금액(원)
"1","2022","04","004","국가정보원","110","일반회계","11","재산수입","54","기타이자수입및재산수입","547","기타재산이자외수입","7,719,000,000","1,511,818,220","5,722,104,640","1,511,818,220","5,722,104,640",0,0,0
"2","2022","04","005","감사원","110","일반회계","11","재산수입","51","관유물대여료","511","토지대여료","7,000,000",0,0,0,0,0,0,0
"3","2022","04","005","감사원","110","일반회계","11","재산수입","51","관유물대여료","512","건물대여료","19,000,000",0,0,0,0,0,0,0
"4","2022","04","005","감사원","110","일반회계","12","경상이전수입","59","기타경상이전수입","596","기타경상이전수입","73,000,000",0,"3,718,920",0,"3,718,920",0,0,0
"5","2022","04","005","감사원","110","일반회계","13","재화및용역판매수입","69","잡수입","691","기타잡수입","97,000,000",0,0,0,0,0,0,0
"6","2022","04","005","감사원","110","일반회계","14","수입대체경비수입","69","잡수입","691","기타잡수입","520,000,000","37,560,000","73,080,000","37,560,000","73,080,000",0,0,0
"7","2022","04","006","국회","110","일반회계","11","재산수입","51","관유물대여료","511","토지대여료","490,000,000","209,483,570","218,960,700","-861,560","8,615,570",0,0,"210,345,130"
"8","2022","04","006","국회","110","일반회계","11","재산수입","51","관유물대여료","512","건물대여료","1,485,000,000","504,964,810","1,057,007,660","-64,712,370","487,088,990",0,0,"569,918,670"
"9","2022","04","006","국회","110","일반회계","11","재산수입","54","기타이자수입및재산수입","546","기타재산이자수입","6,000,000","2,942,410","4,232,870","3,618,250","4,161,880",0,0,"70,990"
"10","2022","04","006","국회","110","일반회계","12","경상이전수입","57","변상금및위약금","571","변상금","14,000,000","148,630","114,976,500",0,0,0,0,"114,976,500"
"11","2022","04","006","국회","110","일반회계","12","경상이전수입","57","변상금및위약금","572","위약금","22,000,000",0,0,0,0,0,0,0
"12","2022","04","006","국회","110","일반회계","12","경상이전수입","58","가산금","581","가산금",0,0,"82,350",250,250,0,0,"82,100"
"13","2022","04","006","국회","110","일반회계","12","경상이전수입","59","기타경상이전수입","596","기타경상이전수입","912,000,000","320,378,890","1,062,376,090","693,962,250","926,190,060",0,0,"136,186,030"
"14","2022","04","006","국회","110","일반회계","13","재화및용역판매수입","65","면허료및수수료","651","면허료및수수료","91,000,000",0,0,0,0,0,0,0
"15","2022","04","006","국회","110","일반회계","13","재화및용역판매수입","69","잡수입","691","기타잡수입","860,000,000","59,149,310","128,508,060","44,454,330","113,813,080",0,0,"14,694,980"
